相手先ID,相手先名,ステータス
311,栃木第一支局※,有効
312,栃木第二支局,有効
321,群馬第一支局,有効
331,新潟第一支局,有効
341,長野第一支局,有効
342,長野第二支局※,有効
411,東京第一支局,有効
412,東京第二支局,有効
413,東京第三支局,有効
421,埼玉第一支局,有効
431,千葉第一支局,有効
432,千葉第二支局,有効
441,茨城第一支局,有効
451,神奈川第一支局,有効
461,山梨第一支局,有効
511,静岡第一支局（静岡・浜松）※,有効
512,静岡第二支局（沼津）※,有効
521,愛知第一支局,有効
531,岐阜第一支局,有効
541,三重第一支局,有効
551,富山第一支局,有効
571,福井第一支局※,有効
611,滋賀第一支局,有効
621,京都第一支局※,有効
631,大阪第一支局,有効
641,奈良第一支局,有効
661,兵庫第一支局,有効
711,岡山第一支局,有効
721,広島第一支局,有効
731,山口第一支局,有効
771,愛媛第一支局,有効
791,高知第一支局,有効
811,福岡第一支局,有効
821,熊本第一支局※,有効
841,大分第一支局※,有効
871,長崎第一支局※,有効
881,沖縄第一支局,有効
892,その他,有効
900,本部,有効
901,教員養成校東京校,有効
902,教員養成校DA大阪,有効
903,教員養成校名古屋校,有効
904,教員養成校DA広島,有効
905,教員養成校DA名古屋,有効
906,教員養成校DA東京,有効
907,教員養成校マスターコース,有効
908,教員養成校大阪校,有効
909,教員養成校DA福岡,有効
910,,有効
911,教員養成校付属教室,有効
111,北海道第一支局,有効
211,青森第一支局,有効
231,宮城第一支局,有効
241,福島第一支局※,有効